Hierarchy;Hierarchy Description;Need Name;Definition;Value;Indicators
Basic Needs;Ability to build and application and deploy changes to it;People & Purpose;Enough team members to meet the ownership and delivery expectations on them.;The project's vision and objectives are clearly communicated, creating a sense of shared purpose, motivation and cohesion among team members and leadership;I feel connected to the purpose and goals of the project I am working on.
;;Technical capability;The team’s technical capabilities align well with the requirements of the project. Team members can complete daily activities confidently.;They have a solid understanding of the technologies, frameworks and tools that are utilised, allowing them to design and develop robust solutions efficiently.;Most people can pick up most work on the team. They regularly pair-program to help with productivity and building experience.
;;Environment Management;Ability to test and debug changes in a <b>prod-like environment</b>, infrastructure-as-code, data sets/data generation, dependency management and configuration, mocks, data generation, short-lived environments.;Real dependencies, similar/same technically to production. Composable environments. Setting up and managing different environment for my project is efficient and cheap.;An environment for every change change.
;;Work Backlog;With a well-maintained backlog, the project team can effectively plan, estimate, and track progress, ensuring a steady flow of value delivery.;Prioritization reflects a balance of business, value, customer value, team productivity and service performance.;The work backlog for my project is well-organized and prioritized. The backlog items are appropriately sized, ensuring efficient planning and task allocation.
;;Data & Storage;Familiar, fit-for-purpose data storage solutions are available to suit the organisation's obligations.;Opinionated self-service data solutions are available for the teams across SQL, NoSQL, Blob/Bucket and Caching. Guidance and defaults are in place for performance, reliability, and data durability. The mean-time-to-restore is known for its primary services. Sharding or partitioning policies support the scale and regional context of the services.;The team can independently manage Data migrations and schema changes. There is up-to-date documentation of schemas and associated privacy or security classifications.
;;Version Control;The consistent creation and maintenance of repositories, teams, projects and permissions for code repositories.;"Clear guidance on branching strategies implemented at the organisation level. It is easy to track changes and support concurrent development and rollback changes.
Clear association between repository, team and any deployed assets and overall project status.";"There is guidance and examples on creation of repositories for internal only, internal + trusted partners, and open source use cases. 
The removal of permissions for ex employees and contractors is automated"
;;Production Environments;Trusted combined state of configuration, deployed artifact(s), infrastructure, runtimes, dependencies and access control.;Production Environment ensures a seamless user experience and customer satisfaction by providing a reliable software deployment platform.;"Optimised and managed for high performance, scalability  and availability.
The team can quickly access production log files and data to assist with troubleshooting issues."
;;Observability;Ability to debug, troubleshoot and <b>monitor normal and abnormal</b> system behaviour. Curated patterns and tooling for the collection, storage, querying and aggregation of system data;It provides comprehensive visibility into the system’s health, performance, and logs, allowing for timely detection and resolution of issues.;An opinionated operational health dashboard
;;Operating Rhythms;The routines used by the team to manage delivery and operations. Planning on a daily, weekly and quarterly basis. <b>Open communication</b> for timely updates, issue resolution, and knowledge sharing.;Foster a shared understanding of priorities and facilitate the coordination of tasks. Achievements are celebrated, learnings are sought, and the team is empowered to balance capacity investment across new feature delivery, quality of service and productivity.;Familiar and effective ceremonies. There is Clear visibility on past and planned investments across new feature delivery, maintaining quality of service and improving productivity.
;;Permissions & Identity;The ability to create and manage accounts, credentials, roles and permissions for end users of the product or service the team is responsible for.;Support for social logins, single sign-on, account verification and suspension. Multi-factor authentication flows.;The ability to script user generation or resets to help with integration test automation.
;;Local Dev + IDE;"Highly automated opinionated setup process gives developers a consistent baseline setup to support build, test and run activities for the primary services they work on.
Service-specific local setup (e.g. install dependencies, mocks, test data). Related to environment management.";Provides a smooth and productive coding experience, with the necessary tools, libraries, frameworks  and associated licenses are readily available.;IDE is setup consistent for new team members. Agreed coding conventions are codified in  'dot files' at machine or repository level.
